iter	Passed	Remaining
478	715	777
479	716	776
480	717	774
481	719	772
482	720	771
483	722	770
484	723	768
485	725	766
486	726	765
487	727	763
488	729	762
489	730	760
490	732	758
491	733	757
492	734	755
493	736	754
494	738	753
495	739	751
496	741	750
497	742	748
498	743	746
499	745	745
500	746	743
501	748	742
502	749	740
503	750	738
504	752	737
505	754	736
506	755	734
507	757	733
508	758	731
509	759	730
510	761	728
511	762	726
512	764	725
513	765	723
514	767	722
515	768	720
516	770	719
517	772	718
518	773	716
519	774	715
520	776	713
521	778	712
522	779	710
523	780	709
524	782	708
525	784	706
526	785	705
527	787	704
528	789	702
529	790	700
530	791	699
531	793	697
532	794	696
533	796	694
534	797	693
535	799	691
536	800	690
537	802	689
538	803	687
539	805	685
540	806	684
541	807	682
542	809	680
543	810	679
544	811	677
545	813	676
546	814	674
547	816	673
548	817	671
549	819	670
550	820	668
551	821	667
552	823	665
553	824	663
554	826	662
555	827	660
556	828	659
557	830	657
558	831	656
559	833	654
560	835	653
561	836	652
562	838	650
563	839	649
564	841	647
565	842	645
566	843	644
567	844	642
568	846	641
569	847	639
570	849	638
571	850	636
572	852	635
573	854	633
574	855	632
575	856	630
576	858	629
577	859	627
578	860	625
579	862	624
580	863	622
581	864	620
582	866	619
583	868	618
584	869	616
585	870	615
586	871	613
587	873	612
588	874	610
589	876	608
590	877	607
591	878	605
592	880	604
593	882	602
594	883	601
595	884	599
596	886	598
597	887	596
598	889	595
599	890	593
600	892	592
601	893	590
602	894	589
603	896	587
604	898	586
605	899	584
606	901	583
607	902	581
608	903	580
609	905	578
610	906	576
611	907	575
612	908	573
613	909	571
614	911	570
615	912	569
616	915	568
617	916	566
618	917	565
619	919	563
620	920	561
621	921	560
622	923	558
623	924	557
624	926	555
625	927	554
626	929	552
627	931	551
628	932	549
629	933	548
630	935	546
631	936	545
632	937	543
633	939	542
634	940	540
635	942	539
636	943	537
637	945	536
638	947	535
639	948	533
640	950	532
641	951	530
642	953	529
643	955	527
644	957	526
645	958	525
646	959	523
647	963	523
648	964	521
649	966	520
650	968	518
651	969	517
652	974	517
653	982	519
654	989	521
655	992	520
656	995	519
657	996	518
658	999	516
659	1001	515
660	1003	514
661	1005	513
662	1007	511
663	1008	510
664	1012	509
665	1014	508
666	1016	507
667	1017	505
668	1019	504
669	1020	502
670	1022	501
671	1023	499
672	1026	498
673	1028	497
674	1030	495
675	1032	494
676	1033	493
677	1034	491
678	1035	489
679	1037	488
680	1038	486
681	1040	484
682	1042	484
683	1045	482
684	1046	481
685	1047	479
686	1049	477
687	1050	476
688	1051	474
689	1053	473
690	1054	471
691	1056	470
692	1059	469
693	1061	467
694	1062	466
695	1064	464
696	1065	463
697	1067	461
698	1068	460
699	1069	458
700	1071	456
701	1072	455
702	1075	454
703	1076	452
704	1078	451
705	1079	449
706	1081	448
707	1082	446
708	1083	444
709	1085	443
710	1086	441
711	1087	440
712	1090	438
713	1092	437
714	1093	435
715	1094	434
716	1096	432
717	1097	431
718	1098	429
719	1100	427
720	1101	426
721	1102	424
722	1104	423
723	1106	421
724	1107	420
725	1109	418
726	1110	417
727	1112	415
728	1113	413
729	1115	412
730	1116	410
731	1118	409
732	1119	407
733	1122	406
734	1124	405
735	1126	404
736	1128	402
737	1129	400
738	1130	399
739	1132	397
740	1134	396
741	1135	394
742	1139	394
743	1141	392
744	1142	391
745	1144	389
746	1145	387
747	1146	386
748	1148	384
749	1150	383
750	1152	382
751	1154	380
752	1157	379
753	1158	378
754	1161	376
755	1162	375
756	1164	373
757	1165	372
758	1167	370
759	1168	369
760	1171	368
761	1173	366
762	1174	364
763	1177	363
764	1179	362
765	1181	360
766	1182	359
767	1184	357
768	1188	357
769	1190	355
770	1191	353
771	1193	352
772	1194	350
773	1195	349
774	1197	347
775	1198	345
776	1199	344
777	1202	343
778	1204	341
779	1205	340
780	1207	338
781	1208	336
782	1210	335
783	1211	333
784	1212	332
785	1214	330
786	1215	328
787	1216	327
788	1219	326
789	1220	324
790	1221	322
791	1223	321
792	1224	319
793	1225	318
794	1227	316
795	1228	314
796	1229	313
797	1230	311
798	1232	309
799	1234	308
800	1235	307
801	1237	305
802	1238	303
803	1240	302
804	1241	300
